"Name";"ModId";"Version";"Type";"InternalCategory";"GOC";"FileId";"FileName";"FilePath";"PrevisouFileName";"FileDate";"FileLength";"DownloadUrl";"GameVersion";"Dependencies";"Copy";"Add";"Update"
"BetterF3";"401648";"1.3.1";"Mods";;"True";"3825938";"BetterF3-1.3.1-Fabric-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\BetterF3-1.3.1-Fabric-1.19.jar";;"10/06/2022 08:52:20";"1419633";"https://edge.forgecdn.net/files/3825/938/BetterF3-1.3.1-Fabric-1.19.jar";"1.19";"Cloth Config API(Required Dependency)";"True";"True";"True"
"BSL Shaders";"322506";"8.1.03";"Shaders";;"True";"3868240";"BSL_v8.1.03.zip";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Shaders\BSL_v8.1.03.zip";;"10/07/2022 10:54:00";"924037";"https://edge.forgecdn.net/files/3868/240/BSL_v8.1.03.zip";"1.19";;"True";"True";"True"
"Charm";"318872";"4.1.2";"Mods";;"False";"3829804";"charm-fabric-1.19-4.1.2.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\charm-fabric-1.19-4.1.2.jar";;"12/06/2022 23:04:36";"3755744";"https://edge.forgecdn.net/files/3829/804/charm-fabric-1.19-4.1.2.jar";"1.19";"Fabric API(Required Dependency)";"True";"True";"True"
"Cloth Config API";"348521";"7.0.73";"Mods";;"True";"3871534";"cloth-config-7.0.73-fabric.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\cloth-config-7.0.73-fabric.jar";;"12/07/2022 06:46:16";"1126254";"https://edge.forgecdn.net/files/3871/534/cloth-config-7.0.73-fabric.jar";"1.19";;"True";"True";"True"
"Complementary Shaders";"385587";"4.5.1";"Shaders";;"True";"3856409";"ComplementaryShaders_v4.5.1.zip";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Shaders\ComplementaryShaders_v4.5.1.zip";;"02/07/2022 4:38:00";"3449815";"https://edge.forgecdn.net/files/3856/409/ComplementaryShaders_v4.5.1.zip";"1.19";;"True";"True";"True"
"Continuity";"531351";"2.0.0";"Mods";"NoOptifine";"True";"3822251";"continuity-2.0.0+1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\continuity-2.0.0+1.19.jar";;"08/06/2022 05:49:58";"1128177";"https://edge.forgecdn.net/files/3822/251/continuity-2.0.0+1.19.jar";"1.19";"Fabric API(Required Dependency)";"True";"True";"True"
"CraftPresence";"297038";"1.8.8";"Mods";;"False";"3821066";"CraftPresence-Fabric-1.19-Release-1.8.8.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\CraftPresence-Fabric-1.19-Release-1.8.8.jar";;"07/06/2022 18:12:26";"864656";"https://edge.forgecdn.net/files/3821/66/CraftPresence-Fabric-1.19-Release-1.8.8.jar";"1.19";"Fabric API(Required Dependency)";"True";"True";"True"
"Dark Loading Screen";"365727";"1.6.12";"Mods";;"False";"3845449";"dark-loading-screen-1.6.12.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\dark-loading-screen-1.6.12.jar";;"23/06/2022 19:17:18";"52116";"https://edge.forgecdn.net/files/3845/449/dark-loading-screen-1.6.12.jar";"1.19";;"True";"True";"True"
"Diggus Maximus";"341888";"1.5.6";"Mods";;"False";"3822193";"diggusmaximus-1.5.6-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\diggusmaximus-1.5.6-1.19.jar";;"08/06/2022 04:37:24";"216407";"https://edge.forgecdn.net/files/3822/193/diggusmaximus-1.5.6-1.19.jar";"1.19";;"True";"True";"True"
"Dramatic Skys";"231821";"1.5";"Ressources";;"True";"3853624";"Dramatic+Skys+Demo+1.5.zip";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Ressources\Dramatic+Skys+Demo+1.5.zip";;"30/06/2022 05:03:23";"16856175";"https://edge.forgecdn.net/files/3853/624/Dramatic+Skys+Demo+1.5.zip";"1.19";;"True";"True";"True"
"EditSign";"344996";"2.4.1";"Mods";;"False";"3824876";"EditSign-1.19-2.4.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\EditSign-1.19-2.4.1.jar";;"09/06/2022 17:51:53";"1064678";"https://edge.forgecdn.net/files/3824/876/EditSign-1.19-2.4.1.jar";"1.19";;"True";"True";"True"
"Effective 💦";"556381";"1.2.2";"Mods";;"False";"3823332";"effective-1.2.2.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\effective-1.2.2.jar";;"08/06/2022 19:41:21";"1722841";"https://edge.forgecdn.net/files/3823/332/effective-1.2.2.jar";"1.19";"Fabric API(Required Dependency)";"True";"True";"True"
"Enchanted ToolTips";"331965";"1.3.6";"Mods";;"False";"3820410";"EnchantedToolTips-1.3.6-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\EnchantedToolTips-1.3.6-1.19.jar";;"07/06/2022 05:50:51";"225666";"https://edge.forgecdn.net/files/3820/410/EnchantedToolTips-1.3.6-1.19.jar";"1.19";;"True";"True";"True"
